text;aspek;sentimen
Suasana hotel nya pas malem tenang banget pemandangan nya juga enak di pandang;umum;positif
Bagus nih hotel nya worth it banget nginep disini keren view nya juga;umum;positif
Letak hotel nya strategis mudah dicari saat butuh tempat nginap;umum;positif
Hotel nya keren banget tanaman nya juga banyak bikin tambah sejuk dan indah dilihat;umum;positif
Hotel nya bagus banget keren, aesthetic fasilitas nya juga lengkap mantap;umum;positif
Lokasi nya dekat sama kota pas malem hari juga sangat aestetic banget pemandangan nyaa;umum;positif
Best banget hotel nya sih harga juga ramah di kantong memuaskan;biaya;positif
Staff nya ramah ramah sopan juga sama orang tua sih, hotelnya bagus;umum;positif
Hotel nya bagus banget keren fasilitas lengkap ada kolam renang nya juga;umum;positif
Hotel nya bagus banget suassnya nyamann dan tenang saat malam;kenyamanan;positif
Lokasi bagus banget sih tempat nya keren banyak tanaman nya bikin sejuk;umum;positif
Bagus hotel nya cocok banget nginep disini kalo liburan ke luwuk;umum;positif
Bagus hotelnya recomend banget sih staff nya ramah sopan ;umum;positif
Suasananya enak banget ,suara ombak pantai juga menambah mood saat nyantai;kenyamanan;positif
Tempat nya bagus dan nyaman udah sering ke sini pelayanan nya juga oke bgt rekomend pokoknya ;umum;positif
Keren view nya enak dilihat mata sih langit nya juga terang pas malem hari;umum;positif
Hotel nya emang terbaik nih , berkualitas pelayanan nya okee;umum;positif
Keren hotelnya pelayanan nya memuaskan banget sopan cekatan;umum;positif
Hotel nya memuaskan banget, bener bener hotel yang worth it;umum;positif
Pemandangannya bagus buat selfiee trus jga staffnya ngelayanin dengan cekatan profesional;umum;positif
Keren hotelnya berkualitas banget, dari segi pelayanan juga okee;umum;positif
Lokasinya pas dekat jalan raya, tempat nya juga bersih adem fasilitas lengkap;fasilitas;positif
Bagus banget hotel nya ini berkualitas polll harga juga terjangkau;biaya;positif
Bener bener rekomendasi banget sih ini hotel nya mewah dan berkelas;umum;positif
Salah satu hotel terbaik di Luwuk, pelayanan prima suasana sunyi;umum;positif
Keren banget hotel nya memuaskan dari segi pelayanan nya juga ramah;umum;positif
Bagus sih malem hari pencahayaan nya juga terang gitu aestetic hotelnya;umum;positif
bagus banget hotel nya di layani dengan sopan profesional sekali;umum;positif
Hotel nya bagus banget fasilitas nya okee dilengkapi kolam renang juga;umum;positif
Salah satu hotel yang recommended banget di Luwuk menurut saya ,mantap;umum;positif
Worth it banget nginep disini bener bener memuaskan tempat nya.;umum;positif
Pilihan staycation terbaik disini ,dijamin puas view nya bagus;umum;positif
Bagus kualitas hotelnya okee banget sih bener bener recommended;umum;positif
Kolam renang nya bersih, keren nih hotel nya bener bener fasilitas nya banyak;fasilitas;positif
Hotel yang nyaman, setiap ada urusan ke Luwuk seringnya nginap di sini. Sejuk, bisa lihat view laut, fasilitas lengkap kecuali lift, jadi kalau kamar dilantai atas harus nenteng koper naik tangga ;umum;positif
Klinik polkes 13.10.03 /LB;umum;netral
Infonya dong music instrumental tema Sunda yang suka diputar di hotel ini.;umum;positif
Bagus pelayanannya;umum;positif
Saya sangat terkesan dengan layanan hotel kota luwuk, customer service nya ramah, menjelaskan secara detil ttg layanan hotel syariah ini, tapi yg paling menarik adalah hotel ini sangat bersih, di kamar bisa tidur dengan sangat nyaman, ;fasilitas;positif
Malam ini menginap di hotel kota Kabupaten Banggai Luwuk, pada Ahad 10 September 2023, sebelum bertolak menuju kabupaten morowali dan morowali utara provinsi Sulawesi Tengah;umum;netral
Mantap;umum;positif
The room was spacious, clean, and beautifully decorated with modern amenities. The bed was incredibly comfortable, ensuring a restful night's sleep. The hotel's location was perfect, with easy access to local attractions and dining options. ;umum;positif
Hotel bersih;fasilitas;positif
Hotel, nyaman dan pemandangan yang  sangat bagus. Pelayanan oke,  sarapannya juga enak dan banyak pilihan menunya. Mantaplah pokoknya nginap di hotel ini. Nice place and nice view  ;umum;positif
Hotel nya bersih banget,;fasilitas;positif
 kamar nyaman dengan View yang mempesona. nanti akan kesana lagi bareng keluarga;umum;positif
Sarapannya enak, banyak variasi dan berbeda setiap hari. Kamar nyaman, luas dan bersih, Viewnya luar biasa;umum;positif
Bagus banget kamarnya, senyaman itu semoga ada waktu berkunjung kembali :);kenyamanan;positif
Kamar nyaman dan rapih, sarapan sudah oke, namun untuk makanan yang berkuah kebetulan asin waktu sy sarapan;kenyamanan;positif
"Kamar bersih nyaman, Pelayanan nya sangat memuaskan.. Terima kasih untuk pelayanan nya Mas Fandi &amp; ibu Yuni..";umum;positif
menginap di swissbel bersama keluarga sangat puas dan menyenangkan. hotelnya sangat bagus dengan pemandangan laut.;umum;positif
Rekomendasi pokoknya yg mau nginap bisa langsung ke hotel Swiss pelayanannya bagus  ;umum;positif
Tempat yang bagus,, nice view, cocok dijadikann referensi sbg tempat stay jika liburan ke luwuk;umum;positif
Kamarnya bersih, sangat nyaman, dan stafnya luar biasa ramah. Lokasi yg strategis dkt bandara Harganya yang sangat terjangkau, fasilitasnya juga lengkap, View laut nya sangat indah cantik bgt, Sangat recomend bgttt buat staycation disini;kenyamanan;positif
Membutuhkan tenaga lebih klo memilih kamar yg lokasi nya paling bawah (premier) terutama kalau tidak bawa kendaraan krn harus menaiki tangga yg lumayan menanjak..;transportasi;negatif
Hotel yang secara keseluruhan bagus, kamarnya bersih, layanannya juga bagus.;umum;positif
Lokasi daerah karaton dan utk pelayanan sebenarnya baik tp kurang berkenan ketika kami sarapan pelayannya memperlihatkan sikap yg sangat membuat kami tidak berkenan, seolah kami org yang menginap scra gratis.;umum;negatif
Memuaskan kamar bersih pelayanan baik;umum;positif
hotel yg bersih;fasilitas;positif
Hotel yg nyaman;kenyamanan;positif
Kamar mandi PERLU RAJIN DIBERSIHKAN Penjaga harus lebih ramah dan murah senyum;fasilitas;negatif
Penginapan yg recomended kalau ke luwuk,tempatnya bersih,nyaman,aman,di tambah kasirnya baik sekali;umum;positif
kamar rapih bersih;fasilitas;positif
cuma beberapa fasilitas sepertinya dikurangi seperti sabun dan shampo tidak disediakan, tissue dimeja tidak disediakan, AC di Lift tidak dingin dan selaras ruangan kamar juga panas apalagi dilantai 3 berbau masakan. ;umum;negatif
12-13 Agustus 2023 i was here, Hotel berada di puncak bukit dengan view lautan dan lampu kota ketika tengah malam.;umum;netral
Suasana sangat bagus. Pun dengan pemandangan dari hotelnya;umum;positif
Pelayanan yg ramah dan fasilitas kamar yg bersih;fasilitas;positif
Salah satu hotel bagus di Luwuk, Sulawesi Tengah, dengan perpaduan pemandangan laut dan kota. Mantaplah.;umum;positif
Kamarnya bersih dan nyaman;umum;positif
Maps sangat membantu menemukan lokasi;transportasi;positif
Kece parah view-nya;umum;positif
Hotel syar'i pertama di Kota Luwuk. Bersih, Aman dan tempat yang strategis;umum;positif
Saya baru saja menghabiskan akhir pekan yang luar biasa di Hotel swissbell dan saya benar-benar terkesan dengan pengalaman saya. Mulai dari pelayanan yang ramah dan profesional hingga fasilitas yang lengkap, semuanya membuat saya merasa ;umum;positif
Salah satu hotel rekomended bila berkunjung ke Kota Luwuk, Banggai, Sulawesi Tengah. Lokasinya yang strategis dengan pemandangan teluk sangat memukau. Pelayanan dan fasilitas juga lengkap sesuai dengan harganya. Cocok untuk liburan ;umum;positif
Lokasi cukup bagus karena terletak di ketinggian, bisa lihat view laut, cuma dipinggir kota, kamarnya tidak menghadap laut semua;umum;positif
Tenang, bersih, kamar luas dan pemandangan nomor satu bagusnya.. Kolam renang, air panas lancar, TV dikit sih siarannya.. ;umum;positif
Pelayanan nya sangat memuaskan, staf dan baik dan Ramah, terimakasih Ibu Amelia untuk pelayanan yg baik dari jauh senyum menrima kami sangat membuat saya sangat merasakan sangat istimewa dan dilayani dengan baik...  terimakasih juga untuk semua staff ;umum;positif
Swisbel luwuk hotel yg indah bersih dan nyaman pelayanannya juga sangat sangat bagus dan memuaskan saya sangat senang dengan pelayanannya dan suasana di sekitarnya ;umum;positif
"Nyaman komplite pegawainya santun,viu nya bagus kamar nya besar makanya enak""  ";umum;positif
Kamar nya bersih dan para pegawainya baik dan ramah thanks you swiss belin luwuk ;umum;positif
Walaupun lokasi agak jauh dr pusat kota namun fasilitas oke, pemandangan indah sekali pelayanannya bagus, ramah dan bisa untuk late check out.;umum;positif
Pemandangan pinggir laut yang sangat bagus,cuma AC kamar agak panas, overall recommended;umum;positif
I was here for a family vacation and  it was soooooo pretty and we where very close together i was on number 528 my uncle number 526 and grandpa and grandma 522 ;umum;positif
Hunian nyaman, makanan enak, pelayanan baik dan ramah, next bisa dicoba lagi dilain kesempatan;umum;positif
Hotel yg nyaman, makanan nya jg enak,staff nya jg baik;umum;positif
Nyaman, tenang, pelayanan bagus, cocok buat staycation;kenyamanan;positif
It was one of the best hotel in luwuk!;umum;positif
Bagus;umum;positif
Tempat yang bagus dan penjaga yang ramah;umum;positif
terima kasih ;umum;positif
Lokasi dekat dengan bandara , akses ke hotel kalau jalan kaki dekat dengan pantai km5. Kamar bersih , tp sayang untuk wc pembuangan airnya agak mampet. Breakfast kurang beranekaragam. ;umum;positif
Hotel Santika ini hotel yang berada hampir di puncak bukit halimun kota Luwuk Banggai. Para pengunjung hotel dapat menikmati keindahan view laut kota Luwuk yang mempesona. Hotel ini dilengkapi fasilitas gym yg cukup lengkap, makanan dan ;umum;positif
Akses terdekat dengan bandara. View lansekap pantai dan kota luwuk yang indah. Makanannya banyak pilihan dan enak. Kamarnya luas. Bersih. Pelayananannya bagus. Support wifinya sangat membantu. Fasilitas tambahan seperti pool nya ok;umum;positif
Bayar Loundry 2 kali.  Saat ambil loundry sdh dibayar, eh pas Mau cek out reseptionis lain minta bayaran lagi, katanya belum bayar.;umum;negatif
Hotel terbaik yang ada di kota Luwuk, mudah dijangkau, terletak dipusat kota, aman dan nyaman;umum;positif
Hotel terbaik se kota Luwuk  ;umum;positif
Salah satu hotel terbaik di luwuk banggai, Viewnya menghadap sunrise mantap jiwa. Makanan lumayan enak, fasilitas lengkap kolam renang berasa pribadi, Parkiran kurang luas. ;umum;positif
best hotel in luwuk, semuanya keren, villanya wangiii, bersih, tempat tidur luas, kolam renang villa jg bersih, ada microwave dan peralatan makan lengkap. Staff FO sih yg juara, semuanya ramah, apalagi mr fandy tuela, yg tiap kali kt nginep ;umum;positif
Pemandangan indah makanan enak kamar bersi Pelayanan nya sangat memuaskan,  Staf yg ramah dan sopan;umum;positif
Tempat yang nyaman buat liburan dan pemandangnya kalau di malam hari sngat cantik sekaliiii melihat terangnya kota luwuk..;kenyamanan;positif
Baru pertama kali stay di sini, walaupun cuma semalem aja tp suka sama hospitality nya di lobi walopun proses check in saya agak lama krna hrs nunggu room nya ready. Lalu utk pelayanan laundrynya, waktu itu merasa agak kaget ya, karna baru ;umum;positif
Lobby hotel cukup oke, tapi kamar harus di renov dan ac sampe kuning + ac lama sehingga harus bangt diganti. Jadi kasi bintang 3 aja soalnya masih banyak yg harus di perbaharui.;umum;netral
Hotel yang saya rekomendasi untuk stayvacation di kota Luwuk. View ke kota sangat bagus, lokasi prestisius.. fasilitas gym, spa, kolam renang yg bersih.. saya kemarin menginap disini kamar 219, yang saya rasakan cukup nyaman untuk ;umum;positif
Alhamdulillah masih worth it dengan harga yg dibayarkan. Tempat tergolong nyaman untuk stay cation, namun kamar saya te bangun ditengah malam karena bunyi dengung dari lemari pendingin sangat menggangu. Kamar tergolong bersih namun beberapa ;umum;positif
Hotel yang nyaman dan strategis,kamar nya sangat bersih,luas dan best view. Sangat cocok untuk staycation dengan keluarga, karena memiliki banyak fasilitas dan lengkap. Lokasi nya dekat dengan bandara dan pusat kota luwuk. Menu breakfast juga enak dan banyak. Ada berbagai macam meeting room. Sangat recommended.;umum;positif
Salah satu hotel terbaik di kota luwuk, dari pelayanan sampai kenyamanan pasti didapatkan di tempat ini.;umum;positif
Tempatnya Bersih dan pelayanannya jg bagus ;umum;positif
Salah satu hotel terbaik di kota luwuk, sulawesi tengah. Pemandangannya oke banget view laut, kamarnya luas , sarapanya enak untuk harga sangat affordable  cocok untuk yang perjalanan business ataupun liburan bersama keluarga ;umum;positif
Sangat rekomendate sekali hotel Estrella;umum;positif
Asik nyaman buat bawa anak berlibur;umum;positif
Sangat senang dgn layanan nya;umum;positif
Bagus;umum;positif
Terlalu banyak aturan, airnya berwarna putih,;umum;negatif
One of the best hotel in this town, located uphill. From this hotel we can enjoy the sea view side. All menus are different every daily basis. Services are satisfied.;umum;positif
Saya check in sampai jam 16.00 masih belum siap kamarnya;umum;negatif
Pelayanannya memuaskan.. Makanannya enak;umum;positif
Pertama kali datang tahun 2018 di Luwuk, Hotel berbintang harga bersahabat, Akses lumayan baik berada dalam kota Luwuk, Dekat pelabuhan, taman RTH, mall dan warung makan,;umum;positif
Keren hotelnya. Bisa jadi rekomendasi untuk teman2 yg berkunjung ke luwuk sulteng.;umum;positif
Bersih, nyaman, harga terjangkau, dan berada di pusat kota ...;umum;positif
Next ke luwuk cmn mau ke hotel ini lagi;umum;positif
Tempat yang nyaman untuk liburan dan Suasana yang bagus, tempat recommended. Pelayanannya baik terimakasih mas Hardi telah membantu selama saya menginap smile face ;umum;positif
thank untuk semua pelayan nya selama saya menginap terima kasih juga Pak Fandy telah membantu kami mendpatkan tiket pesawat saya meras sangat puas dengan semua pelayanan yang terbaik...;umum;positif
Sayang nya tempat pemandangannya kurang balance dng lampu depan kamar yg infonya konslet ,trus pipa shower yg copot seperti tdk terpasang sempurna ...padahal yg tidur di kamar 8222 malam ini Ibu Jendral AL ...semoga kedepannya semua kamar lebih diperhatikan;umum;negatif
Pelayanan terbaik room meeting Bersih dan AC nya dingin, coffe break Dan kuenya Sangat enak apalagi banyak di sajikan;umum;positif
Nice view and liked the morning buffet, but lots of problems with the room: air conditioning not working properly and had to be fixed,  fridge not working and never fixed,  phone not working, problem with toilet which resulted in bathroom ;umum;negatif
Hotel nya luas Dan juga Besar Kamarnya super bersih dan juga rapih cocok untuk orang yang susah tidur, kolamnya bersih dan tidak ada sampah, saya rindu merindukan hotel ini saat liburan ke hotel ini ;fasilitas;positif
Salah satu hotel terbaik dluwuk hihi, slain kamarnya bersih terawat breakfastnya enak dn bnyak pilihan, fo nya ramah dan informatif apalagi yg namanya mba cici sangatt sabarr melayani tamu yg bnyak tanya ;umum;positif
"Pelayanannya oke, dari check in sampai check out mendapatkan pelayanan yg sangat ramah, baik terutama dari ""Mba Cici"" ,,,fast respon smua karyawan hotel saat dibutuhkan. Terimakasih banyak  ";umum;positif
Ini adalah Hotel Bintang atas yg ada di kota Luwuk.. Pelayanan sangat baik, fasilitas lengkap, tata ruangan yg strategis. Saya sangat berterimakasih kepada teman saya Cici Pricilia Paat yg telah merekomendasikan hotel ini;umum;positif
Salah satu hotel terbaik di kota luwuk sih, kamarnya luas dan harga sangat terjangkau . Sarapanya bervariasi dan enak enak juga fasilitas free antar jemput bandara. Semua staff sangat ramah dan helpfull. Good job ESTRELLA HOTEL;umum;positif
Pelayanan dari kariawannya sangat ramah dan santun,makananya juga enak enak apalagi masalah kamar ga usah ragu rapi fresh dan sangat bersih sangat bagus buat weekend bersama keluarga atau kerabat rekomended lah ;umum;positif
Terimakasih estrella, kesan pertama hotelnya bagus,bersih dan konsep hotelnya Aesthetic, kolam renang outdoor dan lumayan besar, area kolam renang bagus rapih dan indah, resto dan bar Bagus pokoknya'Jadi pengen Staycation lebih lama ;umum;positif
Kamar Bersih, Bagus, Viewnya Indah, Layanan Cepat, makanan Enak. Lokasi dekat dengan bandara dan Pusat Kota. Rekomendasi Untuk tempat menginap di kota luwuk;umum;positif
Tempat sangat strategis..dekat dgn bandara..few laut dapet banget .pelayanan ok ...;umum;positif
Tempatnya besar dan bagus ,makannya enak,dan banyak,pelayannya bagus dan cepat ,receptionis cantik dan ramah, Dan Salesnya Gercep ,terimakasih;umum;positif
pelayanan sangat baik, terutama makanan mantap sesuai selere saya dan keluarga. Estrella hotel the best  ;umum;positif
Hotel keren, nice view, suasana nyaman, tenang;umum;positif
Tempat nyaman,view luar biasa.pilihan menu breakfast sangat beragam;umum;positif
Pemandangan bagus, kamar luas dan bersih, makanan enak, service memuaskan;umum;positif
Kamarnya bersih, viewnya cantikkk, overall good ;umum;positif
Service was super bad. Had a meeting with clients here, and the service was poor. The staffs so unhelpful and didnt give any attention to the event that we held. Really disappointing!;umum;negatif
Hotel terbaik di luwuk view yg bagus dan makannya enak.;umum;positif
Makanan enak, Pemandangan bagus, Kamar bersih dan wangi;umum;positif
Hotel estrella  itu sejuk bersih dan pemandangan nya indah.;umum;positif
Layanan sangat bagus  Dan langsung di handle oleh mba cici ;umum;positif
Tempat nya nyaman dan pemandangan nya bagus  ;umum;positif
Hotel terbaik di kota Luwuk ! View yang indah !;umum;positif
view bagus, staff nya ramah;umum;positif
Excellend view, good food, warm;umum;positif
Cukup bersih dan wangi;fasilitas;positif
Murah meriah.. nyaman.. bersih;umum;positif
Standar tempat tidur sedang, kipas angin 90rb Kipas angin deluxe, TV, tempat tidur besar, kamar mandi seharga 150rb Vip, AC, TV, kamar tidur besar, kamar mandi seharga 200rb;umum;positif
Hotel yg bagus, bersih dan layanan nya luar biasa. Letak nya yg bagus dgn view kota Luwuk dan laut yg luar biasa indah... tidak mengecewakan.;umum;positif
Tempat nya nyaman dan view nya langsung pandang ke laut n bukit..jadi bisa memanjakan mata saya.;kenyamanan;positif
layanan, kamar bersih dan rapih  sarapannya uenak...pemandangan ke laut yang indah;umum;positif
Tempat favorit saya di Luwuk Pemandangan bagus Pelayanan memuaskan;umum;positif
View ke pantai bagus. Sarapan pagi/sahur juga enak;umum;positif
Staff hotelnya ada yg ramah,..;umum;positif
Salah satu hotel terbaik di kota Luwuk. Dekat dengan pantai kilo 5. Selama kami menginap di sini layanan kamar bagus dan bersih. Petugas juga ramah dan sigap. ;umum;positif
The hotel features modern, fully-appointed guestrooms with all the necessary amenities for a comfortable stay. I stayed in one of the Deluxe Rooms and it was spacious, clean, and well-equipped. The Family Suites and self-contained Villas ;umum;positif
Selimutnya kotor, water heaternya tidak berfungsi baik, di kamar ada tv tapi siarannya kabur;fasilitas;negatif
Baik, karyawannya ramah;umum;positif
The view is really good, but service doesn't supported, lift too small and sometimes get trouble, and i get little bit bad experience when the room services move my belongings to another room without permission.;umum;negatif
Nice room, affordable, fantastic view, good service.. all excellent;umum;positif
Clean and comfy rooms, breakfast with superb view.. Cannot ask for more I guess.. Experience it yourself..;kenyamanan;positif
Hotel yang bagus dengan manajemen syariah Bahkan ada mushola dan toilet umumnya cocok bagi yang rebutan toilet dikamar;umum;positif
Pelayanannya ramah, tempatnya nyaman rekomended pokoknya  ;umum;positif
